id;villes
1;Cherrueix,Roz/coesnon, ardevon, le Vivier/mer,St benoît des ondes
2;??????????
3;Avranches, Pontorson, Genêts, Pontaubault, Roz sur Couesnon
4;Granville,Avranches,Saint Jean le Thomas,Dragey,Carolles
5;cancale, le val saint père, genêt, Avranches, pontorson
6;Avranche pontorson granville genets donville stpair
7;Saint pair, st jean le thomas, jullouville,. genêt, pontorson.
8;Cancale,Granville,Jullouville,Avranches
9;Saint-père sur Mer, Jullouville, Carolles, Genêts, Saint- jean le Thomas,  .....
10;St Benoit des Ondes, Cancale, Granville, Cherrueix, Le Vivier/Mer
11;GRANVILLE-  AVRANCHES  -   VILLEDIEU LES POELES -   LE MORTAINAIS  - MONT SAINT MICHEL
12;St jean le Thomas Dragey  Granville,St Benoit des Ondes, Julouville
13;Cancale, Dol de Bretagne, Avranches, Jullouville, , Granville
14;Beauvoir, Pontorson, Courtils, Le Mont saint Michel
15;Avranches, Cancale. Dol de Bretagne
16;Granville ,Avranches,Pontorson,Ducey,Saint-Jean-le-Thomas
17;beauvoir   genet granville  avranches   st jean de thomas hirel
18;Avranches, Le Val Saint père, Vains, Gênets, Pontaubault
19;Avranches, Genêts, Carolles, Le Vivier sur Mer, Saint Jean le Thomas
20;granville jullouville carolles genets St jean le thomas
21;Granville,Avranches,Le Val-st_père,Cancale,Jullouville
22;Avranche Pontorson Dol de Bretagne La Haye Pesnel Saint Broladre
23;Genet avaranche carolles st jean le thomas jullouville granville
24;Champeaux, Vains, Huisnes-sur-Mer
25;avranches - vivier sur mer - hirel - pontorson - beauvoir
26;Avranches,Saint Malo,Dinard,Dinan,Cancale
27;Granville Genets Champeaux Caroles Saint pair
28;Avranches, pontaubeau, saint léonard,  carolles
29;avranches - Pontorson - le vivier sur mer - roz sur Couesnon - dragey
30;Granville Cancale Jullouville
31;Carolles, Genêts, Avranches, pontorson, Granville. ..
32;Granville - Villedieu-les-Poêles - Avranches - Carolles - Pontorson
33;Saint Malo,Cancale ,Dinan,Dinard
