villes,total
avranches,167
granville,119
cancale,100
pontorson,99
genets,82
beauvoir,49
carolles,42
saint-jean-le-thomas,41
jullouville,37
cherrueix,31
courtils,24
vains,23
le vivier-sur-mer,20
le mont-saint-michel,19
saint-malo,17
dol-de-bretagne,16
champeaux,15
pontaubault,15
villedieu-les-poeles,12
saint-benoit-des-ondes,12
le val-saint-pere,11
marcey-les-greves,10
ceaux,10
roz-sur-couesnon,9
hirel,8
saint-pair-sur-mer,7
huisnes-sur-mer,7
ducey,6
sartilly,6
mont-dol,5
saint-james,5
dinard,4
saint-meloir-des-ondes,3
tanis,3
dragey-ronthon,2
brehal,2
mortain,2
saint-marcan,2
saint-pere,2
saint-broladre,2
coutances,1
saint-hilaire-du-harcouet,1
servon,1
saint-lo,1
precey,1
pleine-fougeres,1
ponts,1
saint-georges-de-grehaigne,1
donville-les-bains,1
la lucerne-d'outremer,1
bacilly,1
